species,mags_count,order
Mobiluncus_mulieris(ID_k19),193,Actinomycetales
Bifidobacterium_breve(ID_k37),102,Actinomycetales
Bifidobacterium_sp002884815(ID_k45),453,Actinomycetales
Bifidobacterium_vaginale(ID_k48),723,Actinomycetales
Bifidobacterium_vaginale_A(ID_k49),173,Actinomycetales
Bifidobacterium_vaginale_E(ID_k53),182,Actinomycetales
Bifidobacterium_vaginale_G(ID_k55),764,Actinomycetales
Fannyhessea_vaginae(ID_k94),1227,Coriobacteriales
Fannyhessea_vaginae_A(ID_k95),114,Coriobacteriales
Fannyhessea_vaginae_A(ID_k96),117,Coriobacteriales
DNF00809_sp001552935(ID_k109),687,Coriobacteriales
Prevotella_amnii(ID_k146),726,Bacteroidales
Prevotella_bivia(ID_k150),479,Bacteroidales
Prevotella_disiens(ID_k158),147,Bacteroidales
Prevotella_sp000758925(ID_k197),347,Bacteroidales
Prevotella_timonensis_A(ID_k215),472,Bacteroidales
Porphyromonas_uenonis_A(ID_k233),162,Bacteroidales
Aerococcus_christensenii(ID_k281),285,Lactobacillales
Lactobacillus_crispatus(ID_k299),2058,Lactobacillales
Lactobacillus_gasseri(ID_k302),180,Lactobacillales
Lactobacillus_iners(ID_k306),3586,Lactobacillales
Lactobacillus_jensenii(ID_k308),240,Lactobacillales
Lactobacillus_mulieris(ID_k312),225,Lactobacillales
Streptococcus_anginosus(ID_k331),136,Lactobacillales
Metamycoplasma_hominis(ID_k358),286,Others
Ureaplasma_parvum(ID_k373),175,Others
UBA629_sp005465875(ID_k466),460,Others
Peptostreptococcus_anaerobius(ID_k547),115,Others
KA00274_sp902373515(ID_k552),763,Others
Mageeibacillus_indolicus(ID_k553),250,Others
Anaerococcus_tetradius(ID_k561),106,Others
Parvimonas_sp001552895(ID_k572),312,Others
Peptoniphilus_A_lacrimalis(ID_k576),108,Others
Peptoniphilus_A_vaginalis(ID_k577),102,Others
Dialister_sp001553355(ID_k597),668,Veillonellales
Dialister_B_micraerophilus(ID_k600),219,Veillonellales
28L_sp000177555(ID_k601),953,Veillonellales
28L_sp002892445(ID_k602),459,Veillonellales
Veillonella_montpellierensis(ID_k612),118,Veillonellales
Sneathia_amnii(ID_k634),784,Others
Sneathia_sanguinegens(ID_k635),411,Others
UBA1103_sp004136275(ID_k638),175,Others
Fannyhessea(ID_u24),410,Coriobacteriales
Prevotella(ID_u35),176,Bacteroidales
Prevotella(ID_u36),370,Bacteroidales
RC9(ID_u68),223,Bacteroidales
